date	france	germany	italy	uk	us	canada	russia	brazil	south africa	mexico	oil
2001-06-28	0.190072779	0.97166829	-0.701004602	0.264962842	1.32630751	0.186337915	-1.712598825	2.087728206	-0.692988105	-0.436193927	-1.018418516
2001-06-29	1.608980115	1.271629217	0.341363166	-0.113755372	-0.244350171	2.135053141	-2.86319575	0.852371866	-0.057291486	1.012222403	2.641956303
2001-07-02	1.053545286	0.719914891	1.762345334	1.968126376	1.133181158	0.151668079	-1.211636963	-1.145084707	0.595966107	2.550714953	-1.701510501
2001-07-03	-1.768367597	-0.955507882	-0.273516968	-1.756026762	-0.250561989	0.766766892	-1.111023667	-2.703243639	-1.945053623	0.454811943	-1.098050248
2001-07-05	-2.775758579	-2.144952241	-1.524541383	-2.160993867	-1.337787832	-1.301235104	3.780574888	-4.168701761	-5.227979308	-0.653955948	1.875054935
2001-07-06	-1.517826861	-1.485323448	-1.227517756	-0.888214112	-2.334338298	-1.845010888	-3.588397653	-3.67833434	-1.110919308	-2.467247204	3.685127333
2001-07-09	1.234939766	0.663513543	0.898219576	0.127514878	0.798508883	0.596642721	-1.383258048	2.077257683	0.030571895	0.237346459	-2.492576174
2001-07-10	-0.326737982	0.002703386	0.093693072	0.204111083	-1.385372478	-1.147654129	-0.540622906	-3.576454591	0.288437195	0.326168753	-0.844859096
2001-07-11	-0.599241209	0.306638428	-0.357897227	-1.200983583	-0.098205659	-0.310531473	-5.506388141	-0.904362966	-0.455361345	-4.178404644	-1.593814107
2001-07-12	-0.143249739	0.433479112	-1.090808381	1.09119274	2.353997427	1.48362025	1.238670397	0.927338402	0.923695588	-1.549154182	-1.500225531
2001-07-13	1.232574378	0.728946402	-0.102239571	0.621869206	0.623945519	0.719917583	0.626006335	0.462244087	0.946084717	-0.877539008	-0.678509887
2001-07-16	0.299216957	-0.772640239	0.407282035	-0.451966942	-0.963050955	-1.874345367	0.244839219	-3.387272061	0.010497654	-1.028405821	-0.763822809
2001-07-17	-1.324861248	-0.648084058	-2.130205011	-1.580651059	1.027788676	1.04069641	-1.481984283	3.873080369	-2.685739015	1.383503401	0.442924018
2001-07-18	0.001993943	0.272183858	0.940506355	0.879705947	-0.540997435	-0.891902788	-2.898670097	1.017431887	-1.714461902	0.796667158	-2.728737825
2001-07-19	1.169676744	1.650674982	1.500475718	0.760510754	0.591652784	0.236835532	1.705504205	-1.582323423	1.255543787	0.30704867	-0.704374157
2001-07-20	-0.545639582	-0.739785155	-0.00928076	-0.179908002	-0.369575049	-0.139104794	-0.608041083	2.938736176	-1.206399645	-0.386837389	2.423614211
2001-07-23	0.152854685	0.098861081	0.198838629	-0.345836434	-1.703169083	-0.519762996	1.053015927	2.702563898	0.110879676	0.811539526	1.129955525
2001-07-24	-0.455773484	-1.300318923	0.435069505	-1.477830713	-1.654723845	-0.006864635	-1.862901206	-1.706806296	-1.100526195	-0.430801235	-0.080289045
2001-07-25	-1.315872903	-0.976976175	-0.408591405	-0.245946048	1.564546289	0.848214616	2.427221848	-1.731500441	-1.359197211	-0.073253078	1.395835225
2001-07-26	1.164292751	1.432178693	0.216294422	0.269257636	0.914060181	-0.179580709	4.17417795	-0.462252002	0.007435951	1.614957643	-0.436595256
2001-07-27	2.204467911	1.008774607	0.672161542	1.95082332	0.128473079	1.32279695	-2.39561239	0.404123433	0.091851516	-0.008088369	0.19868872
2001-07-30	1.595685912	0.887197482	1.714637837	0.973791549	-0.039412531	-0.316132238	-0.858933793	1.260622486	0.797236909	0.992898604	-0.917254686
2001-07-31	1.112365937	1.190373127	0.401409436	1.497084163	0.503754131	0.848480876	-2.225876749	1.460282364	-0.824432993	-1.254383787	-1.087624014
2001-08-01	0.965138134	0.066962269	0.44793975	0.72720179	0.346249356	0.114480559	0.005716874	-3.391295918	1.847279189	1.030022354	1.087624014
2001-08-02	-0.187917224	-0.641353132	0.035357293	0.909839261	0.437720023	-0.179458839	1.20123725	-0.026928722	2.767596193	1.917226257	4.580953603
2001-08-03	-0.772093546	-0.233842224	0.041790161	-0.710936512	-0.493253193	-0.06173448	-0.134201828	0.404549627	-0.762747708	0.200777855	-1.698226841
2001-08-06	0.115324947	-0.556816983	0.198649662	-1.161365432	-1.174630944	0.542034759	-2.053321799	2.204499919	-1.788576594	-0.856056319	0.543479599
2001-08-07	-0.607468671	-0.100762869	-0.213642782	0.245045509	0.411560971	0.089325353	-1.899840749	1.012355902	-1.8531845	0.218458009	0.963212995
2001-08-08	-1.323455022	-2.289936531	-0.6515509	-1.384279381	-1.749601671	-1.567298657	1.157464682	-1.474513179	-1.695171078	0.428411149	-1.467774516
2001-08-09	-0.502761754	-0.400318242	0.410483848	-0.805272568	-0.037170346	0.290470791	0.965963279	-0.482691486	0.288670205	-0.428338437	-0.077851308
2001-08-10	-0.1353929	-0.356071237	-0.772308057	0.836572874	0.589514134	-0.856070784	1.304265074	0.21191626	0.177703854	0.049856702	1.161453242
2001-08-13	2.081142838	0.785489094	0.735048118	-0.320008582	0.002455641	0.042532246	-0.725771576	-0.873420563	0.370340031	0.756379731	-0.385654161
2001-08-14	0.692799727	0.984194738	0.674845226	1.33018942	-0.467844245	-0.438530499	2.724397281	-0.516176347	1.000924183	-0.127742502	0.424137902
